	0.02	-0.00	areal	0	0	-4
16:29:15.337 -> euler	10.88	-10.71	15.71	areal	553	2362	625
16:29:15.337 -> euler	10.62	-10.68	15.86	areal	630	2321	599
16:29:15.337 -> euler	10.37	-10.66	15.99	areal	718	2281	575
16:29:15.337 -> euler	10.10	-10.65	16.09	areal	804	2245	554
16:29:15.372 -> euler	9.83	-10.67	16.18	areal	872	2219	541
16:29:15.372 -> euler	9.55	-10.70	16.24	areal	937	2201	533
16:29:15.372 -> euler	9.28	-10.75	16.28	areal	1006	2200	534
16:29:15.417 -> euler	9.03	-10.83	16.30	areal	1067	2210	543
16:29:15.417 -> euler	8.81	-10.91	16.32	areal	1117	2231	555
16:29:15.417 -> euler	8.59	-11.02	16.31	areal	1158	2255	568
16:29:15.417 -> euler	8.37	-11.15	16.31	areal	1187	2284	580
16:29:15.417 -> euler	8.13	-11.29	16.30	areal	1210	2312	592
16:29:15.457 -> euler	7.89	-11.44	16.29	areal	1228	2336	605
16:29:15.457 -> euler	7.67	-11.61	16.28	areal	1239	2357	615
16:29:15.457 -> euler	7.49	-11.78	16.29	areal	1248	2381	625
16:29:15.457 -> euler	7.35	-11.96	16.30	areal	1255	2406	638
16:29:15.497 -> euler	7.23	-12.13	16.32	areal	1257	2435	650
16:29:15.497 -> euler	7.12	-12.32	16.35	areal	1262	2467	665
16:29:15.497 -> euler	7.00	-12.50	16.40	areal	1267	2497	681
16:29:15.497 -> euler	6.89	-12.67	16.47	areal	1280	2528	699
16:29:15.537 -> euler	6.79	-12.84	16.55	areal	1292	2555	718
16:29:15.537 -> euler	6.71	-13.01	16.65	areal	1305	2581	731
16:29:15.537 -> euler	6.64	-13.17	16.77	areal	1324	2605	738
16:29:15.537 -> euler	6.59	-13.32	16.92	areal	1346	2631	749
16:29:15.578 -> euler	6.54	-13.47	17.08	areal	1371	2658	754
16:29:15.578 -> euler	6.53	-13.62	17.26	areal	1400	2684	761
16:29:15.578 -> euler	6.54	-13.75	17.46	areal	1426	2710	767
16:29:15.578 -> euler	6.59	-13.88	17.68	areal	1443	2736	770
16:29:15.616 -> euler	6.63	-14.02	17.92	areal	1455	2764	776
16:29:15.616 -> euler	6.66	-14.14	18.17	areal	1461	2796	784
16:29:15.616 -> euler	6.67	-14.26	18.44	areal	1466	2831	794
